Facility,Community Area (#),Phone,"FQHC, Look-alike, or Neither; Special Notes",Address,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Cook County - John Sengstacke Health Center,GRAND BOULEVARD (38),(312) 572-2900,neither; county government clinic,"450 E. 51st St60615
(41.80213342400049, -87.61529021799964)",10,4,21192,394,9,12
Heartland Health Centers - Rogers Park,WEST RIDGE (2),(773) 296-7580,FQHC,"2200 W. Touhy60645
(42.01227634000048, -87.6864202599997)",12,20,22528,341,5,3
Erie Family Health Center - Teen Health Center,LINCOLN SQUARE (4),(312) 666-3494,FQHC; adolescent health only,"1945 W Wilson Ave60640
(41.96509179700047, -87.67784704099967)",15,6,22616,225,18,13
Near North - Louise Landau Health Center,HUMBOLDT PARK (23),(773) 826-3450,FQHC,"800 N. Kedzie60651
(41.89568381000049, -87.70658510099969)",5,24,4299,150,46,41
Heartland Health Centers - Lincoln Square,LINCOLN SQUARE (4),(773) 275-1680,FQHC,"2645 W. Lawrence60625
(41.968531992000464, -87.69534853899967)",20,6,21849,666,24,13
ACCESS Grand Boulevard Family Health Center,FULLER PARK (37),(866) 882-2237,FQHC,"5401 S. Wentworth Ave.60609
(41.79671972200049, -87.63052323499966)",37,3,14924,224,9,12
Near North - Cottage View Health Center,KENWOOD (39),(773) 548-1170,FQHC,"4829 S. Cottage Grove60615
(41.80722741900047, -87.60648706099965)",10,5,21192,461,10,1
Infant Welfare Society,LOGAN SQUARE (22),(773) 782-2800,"neither; pediatric, adolescent, and women's health only","3600 W. Fullerton Ave60647
(41.92463713900048, -87.71795042699966)",1,23,22535,186,17,15
Erie Family Health Center -- Helping Hands,ALBANY PARK (14),(312) 666-3494,FQHC,"4747 N. Kedzie60625
(41.968099048000454, -87.70842421999964)",20,14,21849,258,20,2
Erie Family Health Center - West Town,WEST TOWN (24) ,(312) 666-3494,FQHC,"1701 W. Superior60622
(41.895104121000486, -87.6698091459997)",4,25,21560,520,41,24
ACCESS Westside Family Health Center,NORTH LAWNDALE (29),(866) 882-2237,FQHC,"3752 W. 16th Street60623
(41.85895836900045, -87.71930103399967)",57,30,21569,33,14,36
PCC Community Wellness Center at Loretto Hospital,AUSTIN (25),(773) 537-0020,FQHC,"645 S. Central Ave., Suite 60060644
(41.892441334000466, -87.76526403599968)",32,26,22216,673,45,4
PCC West Town Family Health Center,WEST TOWN (24) ,(773) 292-8300,FQHC,"1044 N. Mozart60622
(41.900627973000496, -87.69811748899969)",4,25,21560,301,49,10
Friend Family Health Center- Beethoven,GRAND BOULEVARD (38),(773) 585-1485,FQHC,"25 W. 47th Street60609
(41.809199537000495, -87.62686437599967)",37,4,14924,415,9,12
ACCESS Sinai,NORTH LAWNDALE (29),(866) 882-2237,FQHC,"2653 W. Odgen60608
(41.85139216100049, -87.66607919199964)",43,33,14920,126,26,8
Alivio Medical Center- Jose Clemente Orozco Academy of Fine Arts and Sciences ,LOWER WEST SIDE (31),(773) 254-1400,FQHC; School-based health center (open to community),"1940 W 18th St60608
(41.85770737900049, -87.67464773399968)",43,33,14920,366,26,8
ACCESS at the Illinois Eye Institute,DOUGLAS (35),(866) 882-2237,FQHC,"3241 S. Michigan Ave60616
(41.83562352500047, -87.62331779899966)",40,1,21194,25,9,12
Heartland Health Outreach- Uptown,UPTOWN (3) ,(773) 751-1700,FQHC; specialize in healthcare for homeless,"1015 W Lawrence Ave60640
(41.96907406200046, -87.65537222099965)",15,31,22616,241,39,37
Erie Family Health Center - - Johnson School,NORTH LAWNDALE (29),(312) 666-3494,FQHC; School-based health center (open to community),"1504 S. Albany60623
(41.86114281400046, -87.70300287799967)",57,30,21569,132,14,36
ACCESS Humboldt Park Family Health Center,HUMBOLDT PARK (23),(866) 882-2237,FQHC,"3202 W. North Ave60647
(41.9101565470005, -87.70714150499964)",1,24,22535,455,49,10
PrimeCare West Town,WEST TOWN (24) ,(312) 633-5841,FQHC,"1431 N. Western60622
(41.90769253200045, -87.68707847899964)",4,25,21560,516,41,24
Friend Family Health Center-Pulaski,WEST ELSDON (62),(773) 702-0660,FQHC,"5635 S. Pulaski60629
(41.7902800870005, -87.72304338699968)",58,60,21867,774,15,23
Howard Brown Health Center,UPTOWN (3) ,(773) 388-1600,Look-alike,"4025 N. Sheridan60613
(41.95519135300049, -87.65452410999967)",53,31,21186,577,39,37
Chicago Family Health Center - Roseland,ROSELAND (49),(773) 995-3416,FQHC,"120 W. 111th St60628
(41.692646838000485, -87.62010043099968)",19,45,21861,237,43,30
ACCESS Warren Family Health Center,NEAR WEST SIDE (28),(866) 882-2237,FQHC,"2409 W. Warren60612
(41.88206235300049, -87.68691060499964)",28,29,21184,37,46,48
Mercy Family Health Center - Henry Booth House ,DOUGLAS (35),(312) 949-2100,Look-alike,"2907 S. Wabash, suite 10660616
(41.841746928000475, -87.62515923099966)",40,1,21194,191,9,48
"TCA Health, Inc",RIVERDALE (54),(773) 995-6300,FQHC,"1029 E.130th Street60826
(39.52368635500045, -99.11415045099966)",,,3906,,,
ACCESS Brandon Family Health Center,SOUTH CHICAGO (46),(866) 882-2237,FQHC,"8300 S. Brandon Ave.60617
(41.74455832500047, -87.54670730799967)",25,42,21202,506,47,47
Lawndale Christian Health Center - Homan Square,NORTH LAWNDALE (29),(773) 843-3002,FQHC,"3517 W. Arthington60624
(41.869948088000456, -87.71355608099964)",30,30,21572,98,14,36
Christian Community Health Center,WASHINGTON HEIGHTS (73),(773) 233-4100,FQHC,"9718 S. Halsted60628
(41.71723502800046, -87.64319993299966)",13,72,21861,592,22,18
ACCESS Centro Medico San Rafael,SOUTH LAWNDALE (30),(866) 882-2237,FQHC,"3204 W. 26th St.60623
(41.844552011000474, -87.70532542499967)",57,32,21569,291,1,29
ACCESS Evanston-Rogers Park Family Health Center,ROGERS PARK (1),(866) 882-2237,FQHC,"1555 W. Howard St.60626
(42.01934252800049, -87.67036084999967)",9,10,21853,357,5,3
UIC - Mile Square - Back of the Yards,NEW CITY (61),(312) 996-2000,FQHC,"4630 S. Bishop Pl60609
(41.809498317000475, -87.66136762899964)",37,59,14924,123,3,12
Cook County - Woodlawn Health Center,WOODLAWN (42),(312) 747-7705,neither; county government clinic,"6337 S. Woodlawn60637
(41.77943406500049, -87.59614278099968)",60,9,22260,27,4,53
Circle Family Health Care Network - Parkside,AUSTIN (25),(773) 921-9669,FQHC,"115 N. Parkside60644
(41.88279076500049, -87.76654319699969)",32,26,22216,618,7,52
Near North- Kostner Health Center,HUMBOLDT PARK (23),(312) 216-8020,FQHC,"1520 N. Kostner60651
(41.9081018060005, -87.73629863999969)",5,24,4299,286,45,4
Near North - Uptown Community Health Center,UPTOWN (3) ,(773) 878-8098,FQHC,"4867 N. Broadway60640
(41.97082279800048, -87.65967393099965)",15,31,22616,634,39,40
Near North - Denny Community Health Center,NEAR NORTH SIDE (8),(312) 926-3964,FQHC,"30 W. Chicago60610
(41.905231123000476, -87.63215773399969)",54,37,14926,17,11,22
Cook County - Dr. Jorge Prieto Health Center,SOUTH LAWNDALE (30),(773) 521-0750,neither; county government clinic,"2424 S. Pulaski60623
(41.8471388530005, -87.72467787299968)",57,32,21569,194,28,14
Heartland Health Centers - Wilson,UPTOWN (3) ,(773) 506-4283,FQHC,"845 W Wilson Ave60640
(41.96543246700048, -87.65107052999969)",15,31,22616,20,39,37
Simpson Academy ,NEAR WEST SIDE (28),(773) 534-7812,neither; School-based health center (open to all CPS students) operated by Rush University,"1321 S. Paulina60608
(41.86440905100045, -87.66878964499966)",43,29,14920,96,23,48
ACCESS Doctors Medical Center,GARFIELD RIDGE (56),(866) 882-2237,FQHC,"6240 W. 55th St.60638
(41.79243370500046, -87.77951803499968)",7,53,22268,587,6,35
Chicago Family Health Center - East Side,EAST SIDE (52),(773) 646-0976,FQHC,"10536 S. Ewing Ave60617
(41.70350905900045, -87.53530736599964)",25,49,21202,602,47,47
Beloved Community Family Wellness Center,ENGLEWOOD (68),(773) 651-3828,FQHC,"6821 S. Halsted60621
(41.7699508820005, -87.64450400599969)",11,66,21559,479,32,31
Heartland Health Centers - Lake View,LAKE VIEW (6),(773) 506-4283,FQHC; pediatric care  only,"3048 W Wilton Ave60657
(41.937737893000474, -87.65287778099969)",22,57,4449,681,25,38
"Cook County - Children’s Advocacy Center 
",NEAR WEST SIDE (28),(312) 492-3861,neither; county government clinic; pediatric care only,"1240 S. Damen60608
(41.8655853190005, -87.67626629399967)",43,29,14920,96,23,48
Friend Family Health Center - Ashland,NEW CITY (61),(773) 702-0660,FQHC,"4802 S. Ashland60609
(41.806508867000446, -87.66494691399964)",37,59,14924,740,4,53
UIC - Mile Square Health Center,NEAR WEST SIDE (28),(312) 996-2000,FQHC,"1220 S. Wood60608
(41.86608735200048, -87.67133141199969)",43,29,14920,96,23,48
ACCESS Booker Family Health Center,GRAND BOULEVARD (38),(866) 882-2237,FQHC,"654 E. 47th St.60653
(41.80951737200047, -87.60946890999969)",36,4,4301,165,10,1
Friend Family Health Center-Western,GAGE PARK (63),(773) 702-0660,FQHC,"5843 S.Western60636
(41.78703006800049, -87.68380389899966)",23,61,22257,112,2,19
ACCESS at Holy Cross,CHICAGO LAWN (66),(866) 882-2237,FQHC,"2701 W. 68th St.60629
(41.77000221800046, -87.69083987199969)",58,64,21867,383,31,44
Alivio Medical Center - Morgan,LOWER WEST SIDE (31),(773) 254-1400,FQHC,"966 W. 21st Street60608
(41.853917228000455, -87.65061082099965)",43,33,14920,250,26,8
Chicago Family Health Center - Chicago Lawn,CHICAGO LAWN (66),(773) 768-5000,FQHC,"3223 W 63rd St60629
(41.77893226000049, -87.70414021099964)",58,64,21867,293,31,44
UIC- Mile Square at Davis Elementary,BRIGHTON PARK (58),(773) 376-8008,FQHC; School-based health center (open to community),"3050 W. 39th Place60632
(41.82180297500048, -87.70077411399967)",56,55,22248,196,1,49
Heartland Health Center- Senn High School,EDGEWATER (77),(773) 751-1860,FQHC; School-based health center (open to community),"5900 North Glenwood Avenue60660
(41.98906126300045, -87.66500748099969)",14,76,4451,539,16,40
Lawndale Christian Health Center - Farragut Career Academy,SOUTH LAWNDALE (30),(872) 588-3540,FQHC; School-based health center (open to community),"3256 W. 24th St60623
(41.84815112600046, -87.70677174099967)",57,32,21569,291,1,14
ACCESS at Gary Comer Youth Center,GREATER GRAND CROSSING (69),(866) 882-2237,FQHC; School-based health center (open to community),"7200 S. Ingleside Ave60619
(41.764002449000486, -87.60189552399964)",61,67,21546,121,33,32
Esperanza Health Center - Little Village,SOUTH LAWNDALE (30),(773) 584-6200,FQHC,"3059 W. 26th60623
(41.84454379700048, -87.70204496199966)",57,32,21569,124,1,29
Cook County - Austin Health Center,AUSTIN (25),(773) 826-9600,neither; county government clinic,"4800 W. Chicago60651
(41.89501742500045, -87.74615003399964)",5,26,4299,578,45,4
Mercy Family Health Center - Lower West,LOWER WEST SIDE (31),(312) 567-7933,Look-alike,"1713 S. Ashland60608
(41.85827340600048, -87.66615258799965)",43,33,14920,270,26,8
ACCESS Madison Family Health Center,WEST GARFIELD PARK (26),(866) 882-2237,FQHC,"3800 W. Madison Ave.60624
(41.88081635500049, -87.72114122599965)",30,27,21572,658,23,11
Cook County - Near South Health Center,DOUGLAS (35),(312) 945-4010,neither; county government clinic,"3525 S. Michigan60653
(41.83063891600045, -87.62321022299966)",36,1,4301,446,9,12
Cook County - Logan Square Health Center,LOGAN SQUARE (22),(773) 395-7400,neither; county government clinic,"2840 W. Fullerton60647
(41.92482664500045, -87.6990508029997)",1,23,22535,548,41,15
ACCESS at Anixter Center,LINCOLN PARK (7),(866) 882-2237,FQHC,"2020 N. Clybourn Ave.60614
(41.918245277000494, -87.65979715499964)",16,68,21190,210,11,51
IMAN Health Clinic,CHICAGO LAWN (66),(773) 434-4626,"neither; free clinic; uninsured patients only; registration required; Days/ Hours Tue: 9am-5pm, Wed: 9am-5pm, Thur: 1p-5pm, Sat: 9am-1pm, Sun: 10am-2pm","2744 W 63rd St60629
(41.779157297000495, -87.69273079299967)",58,64,21867,111,2,44
ACCESS Plaza Family Health Center,SOUTH LAWNDALE (30),(866) 882-2237,FQHC,"2533 W. Cermak60608
(41.851964800000474, -87.68896620599969)",43,32,14920,263,23,11
Cook County - Englewood Health Center,ENGLEWOOD (68),(773) 483-5011,neither; county government clinic,"1135 W. 69th Street60621
(41.768662244000495, -87.65335983599965)",11,66,21559,410,32,17
Esperanza Health Center - Marquette,CHICAGO LAWN (66),(773) 584-6200,FQHC; School-based health center (open to community),"6550 S. Richmond St.60629
(41.77447966400047, -87.69695320499966)",58,64,21867,382,31,44
PCC Walk-In Wellness Center at Norwegian American Hospital,WEST TOWN (24) ,(773) 292-8348,"FQHC, urgent care center ","1044 N. Francisco60622
(41.89982581300046, -87.69929750399967)",4,25,21560,301,49,10
Friend Family Health Center - Cottage Grove ,HYDE PARK (41),(773) 702-0660,FQHC,"800 E. 55th Street60615
(41.79464404000049, -87.62570638499966)",37,7,21559,218,9,12
Erie Family Health Center -- Humboldt Park,WEST TOWN (24) ,(312) 666-3494,FQHC,"2750 W. North60647
(41.9102465630005, -87.69670093399964)",1,25,22535,288,41,24
Asian American Human Services Family Health Center Inc.,WEST RIDGE (2),(773) 761-0300,neither,"2424 W Peterson60659
(41.990527027000496, -87.69051002599969)",50,20,4450,31,24,46
PrimeCare Fullerton,LOGAN SQUARE (22),(773) 276-2229,FQHC,"3924 W. Fullerton60647
(41.924526692000484, -87.72528265599965)",1,23,22535,186,17,27
ACCESS Kedzie Family Health Center,BRIGHTON PARK (58),(866) 882-2237,FQHC,"3213 W. 47th Place60632
(41.806782626000484, -87.70437341399969)",56,55,22248,85,8,49
ACCESS Servicios Medicos La Villita,SOUTH LAWNDALE (30),(866) 882-2237,FQHC,"3303 W. 26th Street60623
(41.84447316900048, -87.70764896499969)",57,32,21569,146,1,14
UIC - Mile Square Health Center - South Shore,SOUTH SHORE (43),(312) 996-2000,FQHC,"7131 S. Jeffrey Blvd60649
(41.76545595900046, -87.57626234999964)",24,39,22538,453,33,32
PCC Salud Family Health Center,BELMONT CRAGIN (19),(773) 836-2785,FQHC,"5359 W. Fullerton60639
(41.92404138100045, -87.7605098149997)",2,19,22615,307,44,4
ACCESS Auburn-Gresham Family Health Center,AUBURN GRESHAM (71) ,(866) 882-2237,FQHC,"8234 S. Ashland Ave.60620
(41.743808594000484, -87.66330769099966)",59,70,21554,532,13,18
ACCESS at Perspectives Charter School- Calumet,AUBURN GRESHAM (71) ,(866) 882-2237,FQHC; School-based health center (open to community),"8131 S. May St.60620
(41.746276106000494, -87.65235631599967)",59,70,21554,487,13,18
ACCESS Ashland Family Health Center,NEW CITY (61),(866) 882-2237,FQHC,"5159 S. Ashland Ave.60609
(41.79974540900048, -87.66468906699964)",37,59,14924,790,2,19
Aunt Martha's Southeast Side Community Health Center,HEGEWISCH (55),"(773)646-3960
(773)646-0480",FQHC,"3528 E. 118th60617
(41.68095938300047, -87.53745850699966)",25,52,21202,787,47,47
ACCESS Centro Medico,SOUTH LAWNDALE (30),(866) 882-2237,FQHC,"3700 W. 26th St.60623
(41.844386285000496, -87.71757141499967)",57,32,21569,754,28,14
Mercy Family Health Center @ Oakwood Shores,OAKLAND (36),(773) 451-0460,Look-alike,"3753 S. Cottage Grove60653
(41.826722480000456, -87.60828727799964)",36,2,4301,221,10,1
ACCESS Southwest Family Health Center,GARFIELD RIDGE (56),(866) 882-2237,FQHC,"4839 W. 47th Street60638
(41.80757461200045, -87.74460191199967)",7,53,22268,605,28,35
Heartland Health Outreach- Refugee Health,UPTOWN (3) ,(773) 751-1744,FQHC; specialize in refugee health,"4750 N Sheridan Rd60640
(41.96843068300046, -87.65485692899966)",15,31,22616,241,39,37
Heartland Health Center- Hibbard Elementary School,ALBANY PARK (14),(773) 336-6100,FQHC; School-based health center (open to community),"4930 North Sawyer Avenue60625
(41.97084703000047, -87.70977434799966)",20,14,21849,750,20,28
Near North - Winfield Moody Health Center,NEAR NORTH SIDE (8),(312) 337-1073,FQHC,"1276 N. Clybourn60610
(41.90535451700049, -87.64178597999967)",54,37,14926,309,46,41
UIC- Mile Square Integrated Health Care New City Clinic,NEW CITY (61),(773) 537-3960,FQHC,"734 W. 47th St.60609
(41.80798701100048, -87.64450045199965)",37,59,14924,84,48,26
UIC- Mile Square Integrated Health Care North Center Clinic,NORTH CENTER (5),(773) 537-3950,FQHC,"4221 N. Lincoln Ave60618
(41.95836825400045, -87.68166153599964)",39,46,21538,623,18,13
PrimeCare Ames,LOGAN SQUARE (22),(773) 772-7202,FQHC; School-based health center (open to community),"1920 N. Hamlin60647
(41.91581950400047, -87.72162791599965)",1,23,22535,388,49,10
Erie Family Health Center - Foster,LINCOLN SQUARE (4),(312) 666-3494,FQHC,"5120 N. California60625
(41.9743854350005, -87.69892101399967)",20,6,21849,620,24,46
Alivio Medical Center - Western,LOWER WEST SIDE (31),(773) 254-1400,FQHC,"2355 S. Western60608
(41.84852105900046, -87.68549405099964)",43,33,14920,204,26,8
Chicago Family Health Center- South Chicago,SOUTH CHICAGO (46),(773) 768-5000,FQHC,"9119 S. Exchange60617
(41.729452411000466, -87.55255938999966)",25,42,21202,510,47,47
Chicago Family Health Center- Pullman,PULLMAN (50),(773) 785-6800,FQHC,"570 E. 115th St60628
(41.68548708300045, -87.60873128299966)",19,47,21861,601,43,30
Erie Family Health Center -- L. Ward ,HUMBOLDT PARK (23),(312) 666-3494,FQHC; School-based health center (open to community),"646 N. Lawndale Ave.60624
(41.892624345000456, -87.71868295299964)",30,24,21572,584,46,41
ACCESS Pilsen Family Health Center,LOWER WEST SIDE (31),(866) 882-2237,FQHC,"1817 S. Loomis St.60608
(41.85732003700048, -87.66124326599964)",43,33,14920,365,26,8
Esperanza Health Centers,SOUTH LAWNDALE (30),(773) 584-6200,FQHC,"2001 S. California60608
(41.85444192300048, -87.69549402199965)",43,32,14920,203,1,11
CommunityHealth - West Town,WEST TOWN (24) ,(773) 395-9900,"neither; volunteer-based free clinic  Days/ Hours Mon- Thurs: 9am-8pm, Fri: 9am-3pm, Sat: 8am-2pm, Sun: CLOSED","2611 W. Chicago60622
(41.89569258300048, -87.69212399099968)",4,25,21560,543,49,10
Lawndale Christian Health Center - Ogden,NORTH LAWNDALE (29),(773) 843-2718,FQHC,"3860 W. Ogden60623
(41.85237244300049, -87.72159867899967)",57,30,21569,752,14,36
Lawndale Christian Health Center - Archer,ARCHER HEIGHTS (57),(773) 843-3000,FQHC,"5122 S. Archer60632
(41.8006452890005, -87.73031479499969)",56,54,22248,697,8,35
Port Ministries Free Clinic,NEW CITY (61),(773) 778-5955,"neither; free clinic; Uninsured patients only; Only New City Residents within Western/Halsted and 55th/41st Streets boudaries; Tues/Thurs: 1pm-3pm, Sat: 9:30am-12pm","5013 S. Hermitage60609
(41.80271496300048, -87.66842898899966)",37,59,14924,740,4,19
Howard Brown Health Center- Aris Health,LAKE VIEW (6),(773) 296-8400,Look-alike,"3245 N. Halsted60657
(41.94119028300048, -87.64926308899965)",22,57,4449,730,25,38
CommunityHealth - Englewood,ENGLEWOOD (68),(773) 994-1515,"neither; volunteer-based free clinic, Days/Hours through Aug 31st are  Mon: 9am-5:30pm, Tues: 10am-5:30pm,  Wed: 9am-5:30pm Thurs: 10am-1pm, Fri: 9am-3pm , Sat/Sun: CLOSED","641 W. 63rd Street60621
(41.77979320600048, -87.64095807999968)",11,66,21559,435,4,53
American Indian Health Services of Chicago,UPTOWN (3) ,(773) 883-9100,neither,"4081 N Broadway60613
(41.9564622850005, -87.65166979499969)",53,31,21186,577,39,37
PCC Austin Family Health Center,AUSTIN (25),(773) 378-3347,FQHC,"5425 W. Lake60644
(41.887271386000464, -87.76137088099966)",32,26,22216,674,45,11
Mercy Family Health Center @ Mercy Hospital ,NEAR SOUTH SIDE (33),(312) 567-2000,Look-alike,"2525 S. Michigan60616
(41.846811956000465, -87.62352337499965)",40,34,21194,193,10,48
ACCESS Cabrini Family Health Center,MCKINLEY PARK (59),(866) 882-2237,FQHC,"3450 S. Archer Ave.60608
(41.8312221810005, -87.67633950099969)",43,56,14920,2,1,26
Alivio Medical Center -Little Village Lawndale High School Campus  ,SOUTH LAWNDALE (30),(773) 254-1400,FQHC,"3120 S Kostner Ave60623
(41.83605293800048, -87.73406839999967)",57,32,21569,200,28,14
UIC - Mile Square - Englewood,ENGLEWOOD (68),(312) 996-2000,FQHC,"641 W. 63rd Street60621
(41.77979320600048, -87.64095807999968)",11,66,21559,435,4,53
Near North - Reavis ,KENWOOD (39),(773) 358-6767,FQHC; School-based health center (open to community),"834 E 50th Street60615
(41.804102568000474, -87.60565952499968)",10,5,21192,461,10,1
