Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2014-2015,309,41.88891817,-87.64447797,370 N. Des Plaines,,Chicago,IL,60661,United States of America,Jewel-Osco 3376,http://www.jeweloscopharmacies.com,312-243-2714,,08/12/2014,03/01/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2014-2015_309,"(41.88891817, -87.64447797)",45,25,4446,109,36
2019-2020,171,41.8967,-87.6241,757 N MICHIGAN AVE,,Chicago,IL,60611,United States of America,Walgreens,http://www.Walgreens.com,312-664-8686,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2019-2020_171,"(41.8967, -87.6241)",6,37,21182,158,11
2019-2020,231,41.8803,-87.6467,111 S HALSTED ST,,Chicago,IL,60661,United States of America,Walgreens,http://www.Walgreens.com,312-463-9142,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2019-2020_231,"(41.8803, -87.6467)",45,29,4452,786,46
2017-2018,100,41.79587,-87.68446,5360 SOUTH WESTERN AVENUE,,Chicago,IL,60609,United States of America,CVS/pharmacy,http://www.cvs.com,773-471-3160,,10/01/2016,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_100,"(41.79587, -87.68446)",56,61,14924,778,3
2015-2016,231,41.9482,-87.66363,3637 NORTH SOUTHPORT AVENUE,,CHICAGO,IL,60613,United States of America,CVS/pharmacy,http://www.cvs.com,773-348-5282,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_231,"(41.9482, -87.66363)",53,57,21186,728,25
2019-2020,108,41.7069,-87.6428,745 WEST 103 ROAD STREET,,Chicago,IL,60628,United States of America,CVS/pharmacy,http://www.cvs.com,773-233-3942,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_108,"(41.7069, -87.6428)",19,45,21861,525,22
2018-2019,16,41.86665,-87.7303,1158 S. Keeler Ave.,,Chicago,IL,60624,United States of America,24th Ward Office,,,,11/05/2018,11/05/2018,10:00:00,13:00:00,11/05/2018 10:00:00 AM,11/05/2018 01:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_16,"(41.86665, -87.7303)",30,30,21572,98,14
2019-2020,29,41.9192,-87.7313,2121 N. Keeler Ave.,,Chicago,IL,60639,United States of America,35th Ward - William P. Nixon School,,,,10/26/2019,10/26/2019,10:00:00,14:00:00,10/26/2019 10:00:00 AM,10/26/2019 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_29,"(41.9192, -87.7313)",2,21,22615,76,12
2014-2015,44,41.76448442,-87.61540433,7140 S DR MARTIN LUTHER KING JR DR,,CHICAGO,IL,60619,United States of America,6th Ward-Meyering Park,,773-635-0006,Brian Sleet,10/11/2014,10/11/2014,10:00:00,13:00:00,10/11/2014 10:00:00 AM,10/11/2014 01:00:00 PM,Saturday,,No limitations.,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2014-2015_44,"(41.76448442, -87.61540433)",61,67,21546,474,32
2015-2016,198,41.9317835,-87.6979694,2744 N CALIFORNIA AVE,,CHICAGO,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-342-2818,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_198,"(41.9317835, -87.6979694)",1,23,22535,548,40
2014-2015,216,41.97531,-87.78332,6200 WEST HIGGINS AVENUE,,CHICAGO,IL,60630,United States of America,CVS/pharmacy,http://www.cvs.com,773-775-9316,,09/01/2014,03/31/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 9:00 AM-9:00 PM, Tue: 9:00 AM-9:00 PM, Wed: 9:00 AM-9:00 PM, Thu: 9:00 AM-9:00 PM, Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_216,"(41.97531, -87.78332)",48,11,21869,779,50
2019-2020,161,41.9938,-87.6608,6150 N BROADWAY ST,,Chicago,IL,60660,United States of America,CVS/pharmacy,https://www.cvs.com/minuteclinic,773-274-9337,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_161,"(41.9938, -87.6608)",14,76,4451,536,16
2015-2016,222,41.73632,-87.58595,8712 SOUTH STONY ISLAND AVENUE,,CHICAGO,IL,60619,United States of America,CVS/pharmacy,http://www.cvs.com,773-933-9200,,09/01/2014,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday",Open 24 Hours,,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_222,"(41.73632, -87.58595)",61,44,21202,490,35
2017-2018,205,41.9316,-87.7557,5140 W DIVERSEY AVE,,CHICAGO,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-685-8759,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2017-2018_205,"(41.9316, -87.7557)",21,19,22615,355,17
2016-2017,272,41.96739,-87.7599,4777 NORTH MILWAUKEE AVENUE,,CHICAGO,IL,60630,United States of America,CVS/pharmacy,http://www.cvs.com,773-205-3270,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_272,"(41.96739, -87.7599)",48,15,21869,260,50
2014-2015,282,41.8806,-87.62576,105 SOUTH WABASH AVENUE,,CHICAGO,IL,60603,United States of America,CVS/pharmacy,http://www.cvs.com,312-244-1521,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_282,"(41.8806, -87.62576)",34,38,14311,367,36
2017-2018,26,41.9542,-87.7031,3001 W. Irving Park Rd.,,Chicago,IL,60618,United States of America,33rd Ward Office,,,,10/21/2017,10/21/2017,9:00:00,14:00:00,10/21/2017 09:00:00 AM,10/21/2017 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_26,"(41.9542, -87.7031)",39,16,21538,116,20
2015-2016,292,41.88347,-87.6342,208 WEST WASHINGTON,,CHICAGO,IL,60606,United States of America,CVS/pharmacy,http://www.cvs.com,312-201-5921,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_292,"(41.88347, -87.6342)",46,38,14914,92,36
2017-2018,53,41.91838,-87.76475,5555 W. Grand Ave.,,Chicago,IL,60639,United States of America,Chicago Police Department - 25th District,,,,11/15/2017,11/15/2017,9:00:00,15:00:00,11/15/2017 09:00:00 AM,11/15/2017 03:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_53,"(41.91838, -87.76475)",2,19,22615,307,45
2019-2020,266,41.7572,-87.5863,7544 S STONY ISLAND AVE,,Chicago,IL,60649,United States of America,Walgreens,http://www.Walgreens.com,773-667-6959,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2019-2020_266,"(41.7572, -87.5863)",61,39,22538,188,35
2015-2016,318,41.8889182,-87.644478,370 N. Des Plaines,,Chicago,IL,60661,United States of America,Jewel-Osco 3376,http://www.jeweloscopharmacies.com,312-243-2714,,08/12/2014,03/01/2016,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_318,"(41.8889182, -87.644478)",45,25,4446,109,36
2014-2015,187,41.7987,-87.743095,5414 S ARCHER AVE,,CHICAGO,IL,60638,United States of America,Walgreens,http://www.Walgreens.com,773-581-1664,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 10:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_187,"(41.7987, -87.743095)",7,53,22268,173,8
2016-2017,127,41.9244041,-87.7665174,5600 W FULLERTON AVE,,CHICAGO,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-745-1640,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: Midnight - Mindnight, Sat: Midnight - Mindnight, Sun: Midnight - Mindnight",,Call for details.,,2016-2017_127,"(41.9244041, -87.7665174)",2,19,22615,58,21
2016-2017,196,41.993701,-87.6900988,6140 N WESTERN AVE,,CHICAGO,IL,60659,United States of America,Walgreens,http://www.Walgreens.com,773-764-50,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_196,"(41.993701, -87.6900988)",50,20,4450,31,24
2014-2015,234,41.50681,-87.64059,11 EAST 14TH STREET,,CHICAGO HEIGHTS,IL,60411,United States of America,CVS/pharmacy,http://www.cvs.com,708-756-5441,,09/01/2014,03/31/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_234,"(41.50681, -87.64059)",,,26902,,
2019-2020,76,41.7341,-87.5607,8847 S. Colfax Ave.,,Chicago,IL,60617,United States of America,Nigerian Progressive Organization,,,,09/21/2019,09/21/2019,11:00:00,15:00:00,09/21/2019 11:00:00 AM,09/21/2019 03:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_76,"(41.7341, -87.5607)",25,42,21202,508,37
2019-2020,210,41.7571,-87.6242,11 E 75TH ST,,Chicago,IL,60619,United States of America,Walgreens,http://www.Walgreens.com,773-224-1211,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2019-2020_210,"(41.7571, -87.6242)",61,67,21546,475,32
2015-2016,139,41.9547148,-87.7476248,4040 N CICERO AVE,,CHICAGO,IL,60641,United States of America,Walgreens,http://www.Walgreens.com,773-283-5321,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2015-2016_139,"(41.9547148, -87.7476248)",21,15,22618,259,50
2019-2020,2,41.7046,-87.5353,10500 S. Ewing Ave.,,Chicago,IL,60617,United States of America,10th Ward Office,,,,10/28/2019,10/28/2019,9:00:00,14:00:00,10/28/2019 09:00:00 AM,10/28/2019 02:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_2,"(41.7046, -87.5353)",25,49,21202,602,47
2015-2016,316,41.8667244,-87.6259612,1224 S. Wabash,,Chicago,IL,60605,United States of America,Jewel-Osco 3345,http://www.jeweloscopharmacies.com,312-663-4646,,08/12/2014,03/01/2016,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_316,"(41.8667244, -87.6259612)",35,34,14913,374,9
2015-2016,192,41.9395181,-87.7135191,3424 W BELMONT AVE,,CHICAGO,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-267-2328,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_192,"(41.9395181, -87.7135191)",39,22,21538,138,12
2019-2020,172,41.8442,-87.7019,3045 W 26TH ST,,Chicago,IL,60623,United States of America,Walgreens,http://www.Walgreens.com,773-254-3316,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2019-2020_172,"(41.8442, -87.7019)",57,32,21569,124,1
2014-2015,117,41.88144131,-87.68537847,2340 W MADISON ST,,CHICAGO,IL,60612,United States of America,Walgreens,http://www.Walgreens.com,312-226-7913,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_117,"(41.88144131, -87.68537847)",28,29,21184,37,46
2015-2016,104,41.8395415,-87.6467929,3000 S HALSTED ST,,CHICAGO,IL,60608,United States of America,Walgreens,http://www.Walgreens.com,312-225-537,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_104,"(41.8395415, -87.6467929)",43,58,14920,59,48
2016-2017,40,41.801751,-87.630697,5101 S. Wentworth Ave.,,Chicago,IL,60609,United States of America,Chicago Police Department - 2nd District,,312-745-3490,PO Melvin Bailey,10/26/2015,10/26/2015,9:00:00,15:00:00,10/26/2015 09:00:00 AM,10/26/2015 03:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_40,"(41.801751, -87.630697)",37,3,14924,224,9
2017-2018,97,41.9133,-87.8056,1819 NORTH HARLEM AVENUE,,Chicago,IL,60707,United States of America,CVS/pharmacy,http://www.cvs.com,773-237-8927,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_97,"(41.9133, -87.8056)",3,26,4454,598,7
2015-2016,105,41.7952673,-87.6290395,5401 S WENTWORTH AVE,,CHICAGO,IL,60609,United States of America,Walgreens,http://www.Walgreens.com,773-268-5664,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_105,"(41.7952673, -87.6290395)",37,3,14924,224,9
2018-2019,205,41.9393,-87.6704,1649 W BELMONT AVE,,Chicago,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-281-8439,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_205,"(41.9393, -87.6704)",22,57,4449,711,40
2018-2019,184,41.9538,-87.68644,2301 W IRVING PARK RD,,Chicago,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-267-8410,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2018-2019_184,"(41.9538, -87.68644)",39,46,21538,613,18
2019-2020,283,41.8963,-87.6369,315 W CHICAGO AVE,,Chicago,IL,60654,United States of America,Walgreens,http://www.Walgreens.com,312-280-1599,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2019-2020_283,"(41.8963, -87.6369)",55,37,4446,652,36
2014-2015,152,41.722299,-87.575099,2011 E 95TH ST,,CHICAGO,IL,60617,United States of America,Walgreens,http://www.Walgreens.com,773-731-9663,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_152,"(41.722299, -87.575099)",25,48,21202,252,37
2016-2017,148,41.706799,-87.620699,10300 S MICHIGAN AVE,,CHICAGO,IL,60628,United States of America,Walgreens,http://www.Walgreens.com,773-468-602,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2016-2017_148,"(41.706799, -87.620699)",19,45,21861,236,43
2019-2020,293,41.9923,-87.6603,6121 N BROADWAY,,Chicago,IL,60660,United States of America,Walgreens,http://www.Walgreens.com,773-764-8961,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,,2019-2020_293,"(41.9923, -87.6603)",14,76,4451,46,16
2017-2018,207,41.9607,-87.7078,4343 N KEDZIE AVE,,CHICAGO,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-604-4419,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2017-2018_207,"(41.9607, -87.7078)",39,16,21538,214,20
2018-2019,181,41.89107,-87.6177,342 E ILLINOIS ST,,Chicago,IL,60611,United States of America,Walgreens,http://www.Walgreens.com,312-467-485,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2018-2019_181,"(41.89107, -87.6177)",6,37,21182,159,36
